,path,source,source_id,target,target_id,is_test
3741,n02091032/ILSVRC2012_val_00042240.JPEG,Italian greyhound,171,Afghan hound,160,False
3646,n02088364/ILSVRC2012_val_00048167.JPEG,beagle,162,Afghan hound,160,False
3586,n02088238/ILSVRC2012_val_00034571.JPEG,basset,161,Afghan hound,160,False
3593,n02088238/ILSVRC2012_val_00040185.JPEG,basset,161,Afghan hound,160,False
5099,n02119022/ILSVRC2012_val_00049984.JPEG,red fox,277,African hunting dog,275,False
5160,n02120505/ILSVRC2012_val_00013158.JPEG,grey fox,280,African hunting dog,275,False
5025,n02117135/ILSVRC2012_val_00029059.JPEG,hyena,276,African hunting dog,275,False
5080,n02119022/ILSVRC2012_val_00031297.JPEG,red fox,277,African hunting dog,275,False
4037,n02095314/ILSVRC2012_val_00039505.JPEG,wire-haired fox terrier,188,American Staffordshire terrier,180,False
3909,n02093991/ILSVRC2012_val_00014418.JPEG,Irish terrier,184,American Staffordshire terrier,180,False
4021,n02095314/ILSVRC2012_val_00028758.JPEG,wire-haired fox terrier,188,American Staffordshire terrier,180,False
3884,n02093754/ILSVRC2012_val_00033226.JPEG,Border terrier,182,American Staffordshire terrier,180,False
5755,n02134418/ILSVRC2012_val_00006386.JPEG,sloth bear,297,American black bear,295,False
5706,n02134084/ILSVRC2012_val_00007713.JPEG,ice bear,296,American black bear,295,False
5638,n02132136/ILSVRC2012_val_00044008.JPEG,brown bear,294,American black bear,295,False
5601,n02132136/ILSVRC2012_val_00001199.JPEG,brown bear,294,American black bear,295,False
2315,n01981276/ILSVRC2012_val_00010874.JPEG,king crab,121,American lobster,122,False
2177,n01978287/ILSVRC2012_val_00023991.JPEG,Dungeness crab,118,American lobster,122,False
2547,n01990800/ILSVRC2012_val_00047249.JPEG,isopod,126,American lobster,122,False
2340,n01981276/ILSVRC2012_val_00037221.JPEG,king crab,121,American lobster,122,False
4963,n02116738/ILSVRC2012_val_00013369.JPEG,African hunting dog,275,Arctic fox,279,False
5154,n02120505/ILSVRC2012_val_00008815.JPEG,grey fox,280,Arctic fox,279,False
4787,n02114548/ILSVRC2012_val_00034856.JPEG,white wolf,270,Arctic fox,279,False
5083,n02119022/ILSVRC2012_val_00032623.JPEG,red fox,277,Arctic fox,279,False
4036,n02095314/ILSVRC2012_val_00039386.JPEG,wire-haired fox terrier,188,Border terrier,182,False
3900,n02093991/ILSVRC2012_val_00000588.JPEG,Irish terrier,184,Border terrier,182,False
3819,n02093428/ILSVRC2012_val_00021229.JPEG,American Staffordshire terrier,180,Border terrier,182,False
4095,n02097209/ILSVRC2012_val_00040720.JPEG,standard schnauzer,198,Border terrier,182,False
3468,n02087046/ILSVRC2012_val_00019124.JPEG,toy terrier,158,Chihuahua,151,False
3360,n02086240/ILSVRC2012_val_00005898.JPEG,Shih-Tzu,155,Chihuahua,151,False
3383,n02086240/ILSVRC2012_val_00029700.JPEG,Shih-Tzu,155,Chihuahua,151,False
3339,n02085782/ILSVRC2012_val_00037230.JPEG,Japanese spaniel,152,Chihuahua,151,False
2480,n01986214/ILSVRC2012_val_00029243.JPEG,hermit crab,125,Dungeness crab,118,False
2396,n01983481/ILSVRC2012_val_00047059.JPEG,American lobster,122,Dungeness crab,118,False
2543,n01990800/ILSVRC2012_val_00043515.JPEG,isopod,126,Dungeness crab,118,False
2474,n01986214/ILSVRC2012_val_00024894.JPEG,hermit crab,125,Dungeness crab,118,False
3640,n02088364/ILSVRC2012_val_00039659.JPEG,beagle,162,English foxhound,167,False
3714,n02091032/ILSVRC2012_val_00014653.JPEG,Italian greyhound,171,English foxhound,167,False
3715,n02091032/ILSVRC2012_val_00017147.JPEG,Italian greyhound,171,English foxhound,167,False
3778,n02091635/ILSVRC2012_val_00022593.JPEG,otterhound,175,English foxhound,167,False
4170,n02100877/ILSVRC2012_val_00022341.JPEG,Irish setter,213,English springer,217,False
4138,n02099601/ILSVRC2012_val_00031917.JPEG,golden retriever,207,English springer,217,False
4252,n02102318/ILSVRC2012_val_00002097.JPEG,cocker spaniel,219,English springer,217,False
4165,n02100877/ILSVRC2012_val_00016411.JPEG,Irish setter,213,English springer,217,False
4318,n02106030/ILSVRC2012_val_00019767.JPEG,collie,231,Eskimo dog,248,False
4343,n02106030/ILSVRC2012_val_00039761.JPEG,collie,231,Eskimo dog,248,False
4417,n02106662/ILSVRC2012_val_00013467.JPEG,German shepherd,235,Eskimo dog,248,False
4553,n02108915/ILSVRC2012_val_00003938.JPEG,French bulldog,245,Eskimo dog,248,False
883,n01641577/ILSVRC2012_val_00028352.JPEG,bullfrog,30,European fire salamander,25,False
750,n01632458/ILSVRC2012_val_00000088.JPEG,spotted salamander,28,European fire salamander,25,False
938,n01644373/ILSVRC2012_val_00036850.JPEG,tree frog,31,European fire salamander,25,False
830,n01632777/ILSVRC2012_val_00031386.JPEG,axolotl,29,European fire salamander,25,False
2917,n02051845/ILSVRC2012_val_00020148.JPEG,pelican,144,European gallinule,136,False
3022,n02058221/ILSVRC2012_val_00018871.JPEG,albatross,146,European gallinule,136,False
2904,n02051845/ILSVRC2012_val_00006087.JPEG,pelican,144,European gallinule,136,False
2996,n02056570/ILSVRC2012_val_00046850.JPEG,king penguin,145,European gallinule,136,False
4414,n02106662/ILSVRC2012_val_00012924.JPEG,German shepherd,235,French bulldog,245,False
4474,n02107312/ILSVRC2012_val_00019096.JPEG,miniature pinscher,237,French bulldog,245,False
4539,n02108089/ILSVRC2012_val_00037916.JPEG,boxer,242,French bulldog,245,False
4380,n02106550/ILSVRC2012_val_00034298.JPEG,Rottweiler,234,French bulldog,245,False
